timestamp,mmsi,name,shiptype,latlon,richting,lengte,breedte
2025-12-10 11:37:30,269057352,RP ZURICH,Tanker,"51.89792, 5.64765",afvaart,110,12
2025-12-10 11:37:37,211572680,,,"51.85572, 6.08394",afvaart,,
2025-12-10 11:40:23,253242471,,,"51.88277, 5.95850",afvaart,,
2025-12-10 11:40:49,244660542,VERA,Vrachtschip,"51.81888, 6.25629",opvaart,214,12
2025-12-10 11:43:07,244150137,SOFIE,Tanker,"51.90306, 6.00898",opvaart,86,10
2025-12-10 11:52:09,211111860,NOMIA,Onbekend,"51.89899, 5.63146",afvaart,82,10
2025-12-10 12:00:28,244700788,VECTURA,Onbekend,"51.89202, 5.69449",afvaart,110,12
2025-12-10 12:05:33,244670690,PELGRIM,Vrachtschip,"51.90333, 6.00782",opvaart,73,8
2025-12-10 12:12:03,244700321,SCHENCKENSCHANS,Passagiersschip,"51.85410, 6.08785",afvaart,19,4
2025-12-10 12:15:20,244700652,DOLLARD,Vrachtschip,"51.82914, 6.20224",opvaart,106,12
2025-12-10 12:16:12,244890292,IMOLA,Tanker,"51.83062, 6.19870",opvaart,110,13
2025-12-10 12:17:53,211550390,NAIMA,Tanker,"51.85366, 6.08747",afvaart,85,10
2025-12-10 12:25:12,244690409,CALANDPLUS,Onbekend,"51.88196, 6.01356",afvaart,36,6
2025-12-10 12:25:54,244700802,SANSTOARM,Vrachtschip,"51.87094, 5.91948",opvaart,62,7
2025-12-10 12:26:28,211271090,SCHLOSS KATHARINEN,Tanker,"51.83819, 6.17337",opvaart,110,12
2025-12-10 12:28:30,211589800,TMS NICOLE II,Tanker,"51.85554, 6.08806",afvaart,110,11
2025-12-10 12:32:44,244700575,RACHEL,Vrachtschip,"52.10109, 6.20880",afvaart,63,7
2025-12-10 12:35:02,244730903,,,"51.85513, 6.08490",afvaart,,
2025-12-10 12:36:00,244660923,CADENZA,Onbekend,"52.18903, 6.18141",afvaart,70,9
2025-12-10 12:36:09,244660602,LENTE,Vrachtschip,"51.85427, 6.08653",afvaart,110,10
2025-12-10 12:43:34,211821210,PORTLAND,Tanker,"51.84622, 6.14076",opvaart,86,11
2025-12-10 12:52:31,244650162,ANNE,Vrachtschip,"51.88031, 5.93197",afvaart,80,7
2025-12-10 12:58:08,244180626,WAALPLUS,Onbekend,"51.88058, 6.01738",afvaart,32,6
2025-12-10 12:58:41,244182422,INDEPENDENT,Tanker,"51.87029, 6.04167",afvaart,85,11
2025-12-10 13:00:26,244700200,HYDROVAC 18,Tanker,"51.87707, 6.03512",opvaart,26,5
2025-12-10 13:04:52,205288190,MARTCILINO,Vrachtschip,"51.86223, 5.98382",opvaart,110,11
2025-12-10 13:07:18,244700268,GAASPERLAND,Onbekend,"52.13189, 6.19055",opvaart,60,8
2025-12-10 13:09:06,244010253,VEERHAVEN VII,Vrachtschip,"51.85427, 6.08324",opvaart,270,23
2025-12-10 13:10:08,244740336,ANTI-LOPE,Vrachtschip,"51.90324, 6.00702",opvaart,39,5
2025-12-10 13:13:28,244670740,NOMADIS,Onbekend,"51.90335, 6.00756",opvaart,85,9
2025-12-10 13:14:35,244670925,GECA,Vrachtschip,"51.82750, 6.22070",afvaart,39,5
2025-12-10 13:21:55,205560890,ARMAGEDDON,Vrachtschip,"51.83595, 6.17507",opvaart,105,11
2025-12-10 13:23:09,244670528,CATALEYA,Vrachtschip,"51.87858, 6.03517",opvaart,86,10
2025-12-10 13:27:53,244690864,,,"51.87453, 5.98588",opvaart,,
2025-12-10 13:34:22,205238190,,,"51.87247, 5.93249",afvaart,,
2025-12-10 13:34:28,211540670,PRETORIA,Vrachtschip,"52.16504, 6.27934",opvaart,110,13
2025-12-10 13:36:56,244001164,NIL DESPERANDUM,Vrachtschip,"51.86261, 5.98410",opvaart,105,11
2025-12-10 13:37:32,244650787,ORTYGIA,Onbekend,"51.83080, 6.24796",afvaart,110,12
2025-12-10 13:42:51,244650874,MAREA,Vrachtschip,"51.89824, 5.57220",opvaart,135,14
2025-12-10 13:43:48,244150552,GELDERLAND,Onbekend,"51.86324, 5.84201",afvaart,10,4
2025-12-10 13:50:19,211484440,EILTANK 49,Onbekend,"51.81474, 6.27325",afvaart,110,12
2025-12-10 13:51:22,205498490,RIO Y MAR,Onbekend,"51.89536, 5.67145",afvaart,80,9
2025-12-10 14:02:28,244010504,CARON,Vrachtschip,"51.83416, 6.18186",afvaart,135,12
2025-12-10 14:17:38,244730368,CONNEMARA,Tanker,"51.86246, 5.98395",opvaart,110,12
2025-12-10 14:23:14,211510610,LINDENHOF,Onbekend,"51.89703, 5.66070",afvaart,110,10
2025-12-10 14:23:40,244740786,INCUBATOR,Tanker,"51.85531, 6.08444",afvaart,110,12
2025-12-10 14:23:45,244670182,SERVICE 4,Onbekend,"51.85002, 6.09444",opvaart,35,6
2025-12-10 14:28:59,211514150,JULIA,Onbekend,"51.88386, 5.74576",afvaart,105,11
2025-12-10 14:36:29,244660615,SILVER,Vrachtschip,"51.87629, 5.98693",afvaart,105,10
2025-12-10 14:37:15,244690805,VECHTLAND,Onbekend,"51.82661, 6.22694",opvaart,85,12
2025-12-10 14:44:22,244387115,SARDIUS,Vrachtschip,"51.85350, 6.08752",afvaart,185,12
2025-12-10 14:45:36,211511860,AVISO II,Tanker,"51.85416, 6.08738",afvaart,110,12
2025-12-10 14:46:50,244660841,,,"51.86304, 5.98363",opvaart,,
2025-12-10 14:50:18,218041250,BIRGIT DEYMANN,Tanker,"51.89959, 5.61568",afvaart,86,11
