MMSI,BaseDateTime,LAT,LON,SOG,COG,Heading,VesselName,IMO,CallSign,VesselType,Status,Length,Width,Draft,Cargo,TransceiverClass
352246000,2020-06-14T00:01:56,29.83301,-89.99777,0.0,236.3,32.0,NEW ENDEAVOR,IMO9579638,3FAT,70,1,229,32,14.4,70,A
366997690,2020-06-14T00:00:18,29.58708,-94.93823,6.8,142.2,511.0,CORPUS CHRISTI,IMO8635722,WDC2785,31,15,22,10,,57,A
368002520,2020-06-14T00:00:21,25.31183,-80.28029,0.0,325.0,511.0,RED LION,,WDJ7026,37,,,,,,B
373885000,2020-06-14T00:01:13,29.92273,-89.96451,14.8,101.2,100.0,LUCTOR,IMO9479840,3FIT6,80,0,182,32,13.1,,A
367705340,2020-06-14T00:02:05,39.69329,-80.86259,0.1,299.5,511.0,CHARLOTTE KLEE,,WDI5117,31,0,17,7,,31,A
367558150,2020-06-14T00:01:52,29.94867,-90.15900,7.1,233.8,227.0,UNCLE SAM,,WDG6543,31,15,21,,,,A
366971370,2020-06-14T00:01:52,47.01459,-91.67162,0.0,256.3,296.0,EDWIN H GOTT,IMO7606061,WDH7558,70,0,304,32,9.8,,A
266282000,2020-06-14T00:01:11,38.39280,-124.18428,14.9,162.1,163.0,ANIARA,IMO9377494,SKJC,70,0,231,32,11.3,70,A
367088180,2020-06-14T00:01:21,29.82014,-92.13272,0.0,310.1,511.0,GRANDE BATTURE,IMO7643291,WYP8397,30,0,49,10,,,A
368311000,2020-06-14T00:01:43,37.79050,-122.28803,0.0,349.4,511.0,MISS TAMMY,,WDG2944,60,0,27,6,,,A
338108493,2020-06-14T00:01:27,33.61049,-117.89594,0.0,60.3,511.0,CHARISMA,IMO0000000,,37,,12,5,,,B
367585460,2020-06-14T00:01:06,24.56368,-81.72507,0.0,113.7,511.0,REEL MADNESS,,WDG9209,37,,12,,,,B
366976920,2020-06-14T00:01:29,47.26241,-122.43205,2.1,44.6,246.0,WEDELL FOSS,IMO8127531,WRB3696,31,5,30,10,3.5,,A
338366834,2020-06-14T00:01:30,32.72363,-117.22562,0.1,284.3,511.0,THUMPER,IMO0000000,,37,,0,0,,,B
367787250,2020-06-14T00:00:51,56.81104,-132.96834,0.0,78.8,511.0,CHRISTA G,,WDJ5397,30,,17,5,,,B
367621160,2020-06-14T00:01:12,33.38033,-118.28315,9.1,7.0,511.0,FREEDOM,,WDH4766,60,0,24,7,,,A
367563930,2020-06-14T00:01:13,40.62568,-74.20455,0.0,22.7,275.0,DEAN REINAUER,IMO9653264,WDG7107,31,5,35,10,4.9,,A
338160234,2020-06-14T00:01:34,43.06118,-86.24332,0.0,160.1,511.0,MEMORY LAPSE,,,37,,,,,,B
367265000,2020-06-14T00:00:56,46.19048,-123.82494,0.0,223.8,511.0,CG STEADFAST,,NSTF,90,5,64,10,,55,A
367309890,2020-06-14T00:01:07,21.27831,-158.08931,0.2,195.8,114.0,NOKE,,WDD9324,31,5,19,7,,,A
366806920,2020-06-14T00:01:19,30.05018,-90.59438,0.0,263.9,511.0,CLAUDIA HAROLD,IMO8635538,WDA4206,31,12,27,9,,,A
367457250,2020-06-14T00:01:08,29.34975,-94.73885,0.7,333.3,324.0,GALVESTON,,WDF4916,50,0,21,6,,50,A
367730340,2020-06-14T00:01:22,21.29303,-157.85924,0.1,360.0,511.0,KAKU,IMO8322301,WDI7607,31,0,21,8,,,A
367479450,2020-06-14T00:01:00,21.31350,-157.86654,0.1,85.4,511.0,GOLDEN EAGLE II,IMO9032850,WDF6942,30,,24,6,,,B
377909000,2020-06-14T00:01:30,18.29883,-64.93717,0.3,353.0,88.0,TROPIC OPAL,IMO8035269,J8NW,70,1,81,18,3.7,71,A
367701370,2020-06-14T00:01:09,28.86162,-95.48010,5.9,241.6,511.0,ST JOHN,,WDI4730,31,12,23,,,,A
367518250,2020-06-14T00:01:15,29.95500,-90.03133,4.3,248.6,278.0,GEORGE C,,WDG2691,31,0,20,,,,A
367061980,2020-06-14T00:01:17,40.64137,-74.12920,3.3,46.1,235.0,KIMBERLY TURECAMO,IMO7914573,WDC6838,31,0,30,9,,52,A
338339572,2020-06-14T00:01:13,33.60430,-117.88770,0.2,360.0,511.0,TUNA MELT,IMO0000000,,37,,14,5,,,B
366959780,2020-06-14T00:01:13,33.01024,-79.92206,0.0,274.1,511.0,PONCA,,WDB8518,31,,17,6,,,B
367151830,2020-06-14T00:00:41,39.76601,-74.06746,8.2,182.7,511.0,MISS BARNEGAT LIGHT,,WDD4966,60,0,23,9,,,A
368032410,2020-06-14T00:00:15,48.61016,-123.15387,0.0,5.2,511.0,PURA VIDA,IMO0000000,WDK2098,37,,20,8,,,B
564548000,2020-06-14T00:01:16,27.37812,-117.72778,10.5,309.5,312.0,ATLANTIC TULUM,IMO9403035,9V3710,70,0,189,32,12.8,70,A
367124190,2020-06-14T00:00:48,55.05485,-162.32795,0.0,351.2,200.0,ISLAND MIST,IMO8856936,WDC3653,30,15,34,9,,,A
367743080,2020-06-14T00:00:43,54.86641,-163.40778,0.0,223.5,511.0,SEA DIAMOND,,WDI8881,30,0,17,5,,,A
367003790,2020-06-14T00:00:13,29.52647,-90.85749,0.0,360.0,511.0,FRANCIS C SETTOON,,WDD4746,31,15,15,6,,,A
538006153,2020-06-14T00:01:18,29.94998,-93.86405,0.0,233.5,181.0,SEACOR DIAMOND,IMO9225495,V7FV9,90,0,72,16,5.0,99,A
367571360,2020-06-14T00:00:18,30.31357,-89.24151,0.0,287.6,511.0,ANGLER EM,,WDG7841,37,,18,,,,B
367696120,2020-06-14T00:00:41,24.57746,-81.82050,0.0,299.3,358.0,SEAQUINN,,WDJ6449,37,0,34,,,,A
367578570,2020-06-14T00:01:05,41.56860,-71.31797,4.8,21.3,511.0,PURA VIDA,,WDG8539,37,,11,6,,,B
316004661,2020-06-14T00:01:13,47.70538,-122.46590,5.8,190.8,192.0,OCEAN WARLOCK,,,31,0,14,6,0.3,,A
367475190,2020-06-14T00:01:36,29.08962,-89.28226,25.4,209.7,511.0,FEDERAL PILOT 3,,WDF6527,90,0,11,4,,50,A
367469390,2020-06-14T00:00:45,57.95885,-136.22723,0.0,32.9,511.0,DRUMBEAT,,WDF5985,37,,16,5,,,B
367680370,2020-06-14T00:01:42,35.74406,-75.66353,6.3,156.2,511.0,COASTAL TRADER,,WDI2655,31,0,21,8,,90,A
339317000,2020-06-14T00:00:56,26.11243,-80.10860,0.0,285.9,184.0,AMARULA SUN,IMO9464120,6YRR3,37,5,49,8,2.4,37,A
338122482,2020-06-14T00:00:32,41.08044,-72.38788,0.0,360.0,511.0,MIST,,,37,,13,,,,B
367702890,2020-06-14T00:00:48,38.46412,-82.60601,0.0,360.0,511.0,JOHN GREER,,WDI4870,31,5,15,,,,A
338188000,2020-06-14T00:00:17,28.83921,-93.94442,13.7,103.4,102.0,INDEPENDENCE,IMO9710191,WSID,80,0,186,,,,A
367563240,2020-06-14T00:01:15,44.09608,-69.10113,0.0,289.3,511.0,ALICE WINSLOW,IMO7829340,WDG7036,31,0,29,9,3.7,,A
311646000,2020-06-14T00:01:02,28.73630,-94.17603,0.3,222.0,9.0,ESTHER SPIRIT,IMO9282053,C6FY6,80,1,249,43,14.9,80,A
367320000,2020-06-14T00:00:16,25.78023,-80.16583,0.0,132.3,511.0,MADMACK,,WDH4506,37,,13,,,,B
367796220,2020-06-14T00:00:47,45.36202,-85.02774,0.0,225.4,511.0,SONA BELLA,IMO0000000,,37,,18,6,,,B
367673080,2020-06-14T00:01:05,30.74183,-81.36460,2.6,68.1,511.0,REDEMPTION,IMO8941444,WDH9936,30,,24,7,,,B
367597230,2020-06-14T00:00:45,40.74065,-74.01242,0.0,360.0,269.0,FDNY 343,,WDH2404,90,5,38,,,,A
366740680,2020-06-14T00:00:22,47.99805,-122.27242,6.5,115.7,511.0,WESTERLY,IMO0000000,WCX8341,37,,12,4,,,B
366954180,2020-06-14T00:01:17,30.01580,-90.72893,0.0,296.4,511.0,FUEL LEADER,,WBS3208,31,12,17,6,,,A
368083270,2020-06-14T00:00:52,27.87071,-82.61219,0.0,360.0,511.0,AQUASITION,IMO0000000,,37,,16,5,,,B
367571660,2020-06-14T00:01:17,29.84515,-91.88977,5.9,271.0,270.0,JACK HASKELL,,WDG7869,31,12,21,,,,A
368086520,2020-06-14T00:00:53,29.30471,-89.08770,1.9,340.5,511.0,MASTER DYLAN,IMO0000000,WDK7657,56,,0,0,,,B
311037500,2020-06-14T00:01:22,29.99711,-90.44502,1.1,287.0,274.0,WICKO,IMO9393474,C6YL6,70,0,190,23,10.1,,A
367550070,2020-06-14T00:00:53,29.09038,-89.89813,2.9,71.7,511.0,QUOC THAI,IMO8984226,WDG5769,30,,27,8,,,B
367771860,2020-06-14T00:01:55,37.04274,-88.53592,0.0,360.0,511.0,ERIC HANEY,,WDJ3833,31,15,48,12,,,A
338252134,2020-06-14T00:00:54,29.31695,-94.77754,0.0,227.7,511.0,HEY JUDE,IMO0000000,,37,,8,3,,,B
368005120,2020-06-14T00:01:50,39.15714,-74.69666,0.0,359.9,511.0,TWO DUKES,,WDJ7274,30,,,,,,B
368081730,2020-06-14T00:00:56,48.51393,-122.83259,3.5,6.9,511.0,SHADOW FOX,IMO0000000,WDK7158,37,,8,2,,,B
338132058,2020-06-14T00:01:51,59.23311,-135.43872,0.0,15.0,511.0,PAVLOF,,,30,,24,,,,B
338136263,2020-06-14T00:00:27,26.11573,-80.10643,0.0,153.3,511.0,HEIDI,,APPLY,37,,21,,,,B
367181750,2020-06-14T00:01:13,41.63370,-70.90767,0.0,271.8,511.0,JOHN & NICHOLAS,IMO9241853,WDD7085,30,15,24,7,,,A
369970440,2020-06-14T00:00:57,38.58975,-90.20531,0.0,349.9,47.0,PATHFINDER,IMO8891077,AEBQ,90,6,21,8,,59,A
366996360,2020-06-14T00:01:18,29.79250,-95.06679,0.1,39.3,216.0,DIXIE VANDAL,,WDC2682,31,0,21,7,,57,A
338376229,2020-06-14T00:01:13,38.32741,-75.10584,0.1,286.4,511.0,ALLISON,,,37,15,11,4,0.0,37,A
367310140,2020-06-14T00:01:21,30.39081,-86.51608,0.0,360.0,511.0,E STROUD,,WYU9504,90,3,70,0,,,A
338146488,2020-06-14T00:00:59,29.55806,-94.98083,3.1,67.1,511.0,SAILAWAYCAT,,,60,,9,,,,B
367662480,2020-06-14T00:01:13,38.41948,-82.59583,5.9,343.2,511.0,BUS BROWN,,WDH8884,31,0,15,,,,A
367479820,2020-06-14T00:01:08,37.97193,-122.49899,0.3,360.0,511.0,FREEDOM,IMO0000000,WDF6975,37,,19,5,,,B
367653770,2020-06-14T00:01:04,47.24679,-122.43196,0.0,164.2,511.0,AT EASE,,WDH8008,37,,14,,,,B
338106996,2020-06-14T00:01:21,26.83196,-80.05531,0.0,263.7,511.0,MY WAY,,,37,,15,5,,,B
338363742,2020-06-14T00:01:11,29.72272,-84.98192,0.0,360.0,511.0,GRAND APALACH,IMO0000000,,37,,11,4,,,B
367063560,2020-06-14T00:01:12,29.22849,-88.73569,14.3,270.3,511.0,LADY LAB,IMO173400000,WDC6939,60,0,0,0,2.1,60,A
367504910,2020-06-14T00:01:39,29.36272,-94.89623,5.3,277.1,271.0,DENIA,IMO9333292,WDF9413,31,0,29,10,3.7,52,A
367328780,2020-06-14T00:01:15,37.90036,-122.41669,7.3,170.3,177.0,VIGILANT,IMO9409948,WDE2719,31,0,30,12,,52,A
338145686,2020-06-14T00:52:24,33.97053,-118.44653,0.1,57.5,353.0,BAYWATCH 11,,,90,15,9,,,,A
367739650,2020-06-14T00:01:17,29.11877,-90.19667,0.0,226.2,341.0,MAGGIE A,IMO9772981,WDI8542,60,0,58,,,,A
371841000,2020-06-14T00:01:13,48.55856,-126.14906,1.3,97.4,43.0,IGNAZIO,IMO9425784,3FEY6,70,0,189,32,12.8,70,A
367456820,2020-06-14T00:01:18,29.88628,-90.00079,0.2,292.8,21.0,INNOVATOR,IMO8981420,WDF4880,31,0,22,9,,,A
367004760,2020-06-14T00:01:43,30.76581,-88.02875,4.2,27.0,511.0,JOE CAIN,,WDC3254,31,15,27,10,,,A
367394110,2020-06-14T00:01:23,29.85156,-90.02193,0.0,143.8,511.0,CAPTAIN JAY,,WDE7507,31,15,20,7,,31,A
366997930,2020-06-14T00:01:16,29.95953,-90.29062,1.5,238.1,511.0,RAY ECKSTEIN,IMO8635863,WDC2804,31,0,20,7,,0,A
367304990,2020-06-14T00:01:18,37.74162,-123.67329,10.3,155.9,149.0,COCHISE,IMO9415595,WDD8952,31,0,39,10,4.9,32,A
368098720,2020-06-14T00:01:16,47.62901,-122.39400,0.0,360.0,511.0,MAKE IT SO,IMO0000000,WDK8917,37,,9,3,,,B
366922280,2020-06-14T00:00:12,45.05330,-85.88063,9.0,224.2,224.0,PRENTISS BROWN,IMO7035547,WDE6848,90,0,0,0,7.0,90,A
338337278,2020-06-14T00:01:17,41.48224,-71.32304,0.2,360.0,511.0,GOOD TO GO,IMO0000000,,37,,15,5,,,B
367589940,2020-06-14T00:00:55,38.87818,-77.02457,0.0,170.9,511.0,LIBERTY,,WDG9650,37,,16,,,,B
367473140,2020-06-14T00:01:18,32.83275,-79.89728,0.0,280.5,511.0,VIRGINIAN,,WDF6332,90,3,54,18,,33,A
367674880,2020-06-14T00:01:24,47.64398,-122.31283,0.0,205.8,511.0,THE GREAT ESCAPE,,WDI2115,37,,18,,,,B
367650150,2020-06-14T00:01:18,33.71973,-118.27974,0.1,102.0,511.0,LIONHEART,,WDH7640,37,,14,,,,B
367126730,2020-06-14T00:01:00,59.83403,-149.44887,21.2,34.7,511.0,VIEWFINDER,,WDD3169,60,,17,5,,,B
367460780,2020-06-14T00:01:24,27.46654,-82.68253,0.0,0.0,511.0,PASSAGE OF TIME,,WDF5226,37,,16,4,,,B
369493387,2020-06-14T00:01:24,24.74799,-80.74722,12.0,65.5,511.0,CG ALLIGATOR,,NYNA,90,15,26,5,,,A
367668450,2020-06-14T00:01:21,40.70483,-73.97275,0.0,83.8,511.0,WILLIAM M FEEHAN,,WDH9474,,0,,,,,A
366984280,2020-06-14T00:01:18,38.83301,-90.10650,0.0,39.7,20.0,CORAL DAWN,,WDB9873,31,12,46,12,,,A
316007587,2020-06-14T00:00:18,49.11984,-123.16796,0.0,218.2,511.0,PACIFIC VIKING,IMO8744937,,30,7,24,6,3.2,,A
367456560,2020-06-14T00:01:39,30.05356,-88.78651,35.8,358.1,3.0,RELENTLESS PURSUIT,,WDF4854,37,0,25,6,,37,A
