 fetch_ts_utc,timestamp_utc,timestamp_local,MMSI,NAME,CALLSIGN,IMO,TYPE,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,NAVSTAT,A,B,C,D,DRAUGHT,DEST,ETA
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.362041+00:00,2025-12-29T15:46:17.362041+01:00,244780976,RVE 33,PD5134,0,33,51.96016,4.0117,0,89.7,511,128,0,12,10,3,2,0.2,ROTTERDAM,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.362251+00:00,2025-12-29T15:46:17.362251+01:00,244780485,T MAKKEN,PI2969,0,99,51.89051,5.68949,0,360,511,128,7,6,7,3,1,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.362553+00:00,2025-12-29T15:46:17.362553+01:00,244700384,NOVATIE,PC2193,0,79,51.80674,4.87685,0,360,511,128,5,98,12,5,7,2.5,NEUSS,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.362784+00:00,2025-12-29T15:46:17.362784+01:00,246134000,KLAVERBANK,PCJI,9518244,70,51.78867,3.38601,0.1,201,21,0,1,88,12,7,6,4,ORDER,12-27 02:30
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.363036+00:00,2025-12-29T15:46:17.363036+01:00,244615921,POOLSTER,PE7047,0,37,52.31059,5.24808,0,360,511,128,15,8,5,2,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.363296+00:00,2025-12-29T15:46:17.363296+01:00,244130271,GEERTJE,PE4855,0,69,52.38418,4.89385,0,360,511,128,0,5,2,1,2,0,AMSTERDAM,01-01 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.363580+00:00,2025-12-29T15:46:17.363580+01:00,244770656,MISTRAL,PF8055,0,99,52.00729,4.70771,0,360,511,128,5,4,14,3,2,0,=,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.363908+00:00,2025-12-29T15:46:17.363908+01:00,244700853,CARIA,PI9136,0,89,51.82062,4.90446,0,82.7,511,128,5,56,11,4,5,2,SGRAVENDEEL,03-12 17:46
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.364185+00:00,2025-12-29T15:46:17.364185+01:00,211440330,THOMAS DEYMANN 1-2,DH5589,0,79,50.98811,6.96719,1.2,250,511,128,0,157,15,7,5,2.5,HASSELT,10-12 23:51
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.364405+00:00,2025-12-29T15:46:17.364405+01:00,211767690,PROGRESS 1,DB4039,0,99,51.45247,6.73005,0,360,511,128,5,7,8,2,3,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.364728+00:00,2025-12-29T15:46:17.364728+01:00,244731261,E-PUSHER 1,PG7895,0,79,52.41168,4.75248,0,360,186,0,5,63,14,7,4,1,ZAANDAMAMSTERDAM,07-26 06:39
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.364938+00:00,2025-12-29T15:46:17.364938+01:00,232054448,HST LOWESTOFT,MOZN3,9991977,40,51.23069,2.93546,0,331,138,0,5,13,14,3,7,2.4,BEOST,10-14 12:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.365150+00:00,2025-12-29T15:46:17.365150+01:00,244670035,SANDRA,PF6398,0,79,52.42067,4.85118,0,360,271,0,0,17,0,3,3,2,ZAANDAM,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.365354+00:00,2025-12-29T15:46:17.365354+01:00,244182883,EDISON,PC8977,0,60,52.36186,4.88358,0,360,511,128,8,2,12,3,1,1,AMSTERDAM,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.365556+00:00,2025-12-29T15:46:17.365556+01:00,205547990,ZULU 04,OT5479,0,79,51.32963,4.87246,2.7,259.8,511,128,0,4,46,0,7,1.5,BEGEL04020CITYX00440,02-14 07:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.365762+00:00,2025-12-29T15:46:17.365762+01:00,244730224,POSEIDON,PI5876,0,37,51.87462,4.62705,0,360,511,128,15,6,5,0,3,0.2,VAREN 2025,08-30 15:05
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.366004+00:00,2025-12-29T15:46:17.366004+01:00,244660815,VLISSINGEN,PE7597,0,90,51.953,4.00033,0.1,173.5,511,128,5,125,10,15,6,4.1,AMALIAHAVEN,12-22 11:33
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.366317+00:00,2025-12-29T15:46:17.366317+01:00,244750035,OPHEUSDENSEVEER,PD6752,0,69,51.94184,5.61518,0,360,511,128,0,31,9,19,0,1.3,OVERKANT,09-05 18:30
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.366576+00:00,2025-12-29T15:46:17.366576+01:00,244013672,UK205 SPES NOVA,PDLR,9843479,30,51.44533,3.59127,0,352.6,193,0,0,9,23,4,6,3.2,,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.366787+00:00,2025-12-29T15:46:17.366787+01:00,244780012,RWS 59,PD4000,0,99,53.22783,6.5912,0.1,172.7,511,128,5,8,12,3,3,0,GAARKEUKEN,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.367036+00:00,2025-12-29T15:46:17.367036+01:00,244630162,THUNDERBIRD 2,PE6235,0,20,51.88608,4.45158,0,360,511,128,5,56,8,4,4,1.5,ROTTERDAM,12-16 19:08
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.367275+00:00,2025-12-29T15:46:17.367275+01:00,244041221,CITIUS,PE3363,0,37,52.4879,5.0654,0.1,354.9,511,128,15,7,5,4,0,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.367504+00:00,2025-12-29T15:46:17.367504+01:00,205530090,AGAAT 8,OT5300,0,99,51.25552,4.41163,0.1,360,511,128,0,16,7,3,1,2,ANTWERPEN,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.367715+00:00,2025-12-29T15:46:17.367715+01:00,205115000,ORKA,ORBZ,0,51,51.23258,2.92361,102.3,360,511,128,5,12,8,3,3,1,OOSTENDE.,01-15 10:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.367940+00:00,2025-12-29T15:46:17.367940+01:00,244710597,FRIESLAND,PH6307,0,79,52.83894,5.71241,0,0,8,0,5,63,10,4,4,0.3,ZANDVAART,09-18 08:31
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.368198+00:00,2025-12-29T15:46:17.368198+01:00,244020088,DE NIEUWE DIEP,PD5072,0,37,52.95221,4.77988,0,360,511,128,15,8,4,3,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.368483+00:00,2025-12-29T15:46:17.368483+01:00,255702000,SIDER ATLANTIC,CQFY,9618795,70,51.28196,4.37068,0,280.3,268,0,5,129,28,19,6,10.2,BEANT,12-28 14:30
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.369060+00:00,2025-12-29T15:46:17.369060+01:00,244030261,LUNA,PC5110,0,36,51.82334,4.11916,0,50.3,511,128,15,13,0,2,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.369539+00:00,2025-12-29T15:46:17.369539+01:00,244376229,BLUE PETER,PG9289,0,36,52.38254,4.90679,0.1,360,511,128,15,7,3,2,1,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.370028+00:00,2025-12-29T15:46:17.370028+01:00,246490000,MULTRASALVOR 4,PDPN,8224286,52,51.33923,3.81541,0,292.9,163,0,5,38,8,3,9,2.8,TERNEUZEN,11-29 17:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.370532+00:00,2025-12-29T15:46:17.370532+01:00,244710657,DEZI,PI3339,0,79,52.4245,4.76283,0,153.2,511,128,5,123,12,7,5,2,APM 2 EXSPRES,12-03 02:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.371035+00:00,2025-12-29T15:46:17.371035+01:00,244060767,PERFICIO,PG7673,0,79,51.80788,4.87965,0,274,227,0,5,108,2,7,6,1,BEATRIXHAVEN TE WERK,12-13 00:29
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.371625+00:00,2025-12-29T15:46:17.371625+01:00,244850094,MULTRATUG 9,PCZR,9770866,90,51.26232,4.28757,0,208.2,511,128,0,14,14,5,5,4.6,ANTWERP TOWAGE,11-12 14:30
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.372158+00:00,2025-12-29T15:46:17.372158+01:00,244837000,MEERMIN IV,PEKF,0,90,51.44927,3.58563,0,83.3,26,0,5,12,3,3,3,1,SOUNDING,04-25 07:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.372655+00:00,2025-12-29T15:46:17.372655+01:00,229430000,ANNA J,9HA3323,0,37,51.82698,4.72404,0,360,309,0,5,0,0,0,0,0,TOMORROW,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.373280+00:00,2025-12-29T15:46:17.373280+01:00,244620471,GANDALF,PH7033,0,69,52.37314,4.911,0,360,511,128,0,35,10,6,1,1.6,AMSTERDAM,00-00 24:60
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.373825+00:00,2025-12-29T15:46:17.373825+01:00,244670109,HYDROVAC 5,PH3378,0,89,52.46198,4.58559,0.1,77.1,511,128,5,20,8,2,3,1,IJMUIDEN,04-22 17:30
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.374368+00:00,2025-12-29T15:46:17.374368+01:00,244700406,ZORG MET VLIJT,PI6079,0,69,52.70178,5.29209,0,360,511,128,8,21,3,4,2,1.2,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.374977+00:00,2025-12-29T15:46:17.374977+01:00,244870980,MATHILDA,PH9739,0,69,52.7463,5.18198,0,0,511,128,0,24,2,4,1,1,AMSTERDAM,10-16 15:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.375518+00:00,2025-12-29T15:46:17.375518+01:00,244009421,WILLEM BARENTSZ,PB9857,9807578,60,53.21892,5.29521,10.7,326.2,326,0,0,21,49,9,8,2.5,HAR<>TER,10-11 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.376097+00:00,2025-12-29T15:46:17.376097+01:00,244690526,NIL DESPERANDUM,PG2405,0,69,53.36117,5.21845,0,360,511,128,0,32,4,5,2,1.2,2026,01-01 23:59
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.376649+00:00,2025-12-29T15:46:17.376649+01:00,205435390,JOMEL,OT4353,0,79,51.03396,3.68731,5.8,121,511,128,0,6,49,2,6,2.3,BRUGGE,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.377200+00:00,2025-12-29T15:46:17.377200+01:00,249110000,PIONEERING SPIRIT,9HA4112,9593505,90,51.96169,3.97702,0,340.4,33,0,5,140,242,62,62,13,ROTTERDAM,10-21 14:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.377739+00:00,2025-12-29T15:46:17.377739+01:00,244670766,IJVEER 60,PB5160,0,69,52.38389,4.92662,0,360,332,0,0,19,15,4,5,2.1,AMSTERDAM,02-10 15:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.378308+00:00,2025-12-29T15:46:17.378308+01:00,205364570,JUGGERNAUT,OQ3645,0,37,51.76192,3.85947,0.1,360,511,128,15,4,6,1,3,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.378814+00:00,2025-12-29T15:46:17.378814+01:00,205233000,VB FALCON,ORKQ,9120190,90,51.89989,4.39733,0,246.9,237,0,0,12,18,4,6,5.2,ROTTERDAM,07-08 21:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.379312+00:00,2025-12-29T15:46:17.379312+01:00,244710581,REINOD 5,PD4816,0,52,51.90643,4.42687,0,270.6,511,128,0,6,10,3,2,2.1,R.DAM,10-15 19:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.379822+00:00,2025-12-29T15:46:17.379822+01:00,244670735,DELTA,PF3075,0,80,51.92157,4.21801,0,321.7,511,128,5,71,15,5,7,2.9,7E PETROLEUMHAVEN CA,12-25 12:33
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.380296+00:00,2025-12-29T15:46:17.380296+01:00,244716921,ROOS,PE4486,0,60,52.40401,4.67954,0,360,511,128,0,9,2,1,2,0.4,AMS,11-07 12:12
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.380831+00:00,2025-12-29T15:46:17.380831+01:00,244130956,RH1,PB9742,0,37,53.23921,6.19423,0,266.1,511,128,15,4,5,1,2,0,,00-00 00:00
2025-12-29T14:46:17.334466+00:00,2025-12-29T14:46:17.381328+00:00,2025-12-29T15:46:17.381328+01:00,244130366,NECESSE,PE5126,0,37,52.91375,5.4386,0,322.6,511,128,15,10,4,2,2,0,,00-00 00:00
