snapshot_ts_utc,MMSI,NAME,CALLSIGN,IMO,TYPE,NAVSTAT,LATITUDE,LONGITUDE,SOG,COG,HEADING,ROT,A,B,C,D,DRAUGHT,DEST,ETA,TIME
2026-01-12T19:18:50.969647+00:00,244030117,KRVE 86,PBKC,0,159,0,51.89943,4.43124,0.1,136.5,511,128,18,4,3,3,2.2,ROTTERDAM,10-25 15:00,2026-01-12 19:15:43 GMT
2026-01-12T19:18:50.969647+00:00,636015284,IOANNA D,A8ZR9,9634969,70,5,51.95349,4.12757,0,255.4,187,0,154,26,12,16,7.3,NL RTM,01-10 12:00,2026-01-12 19:12:00 GMT
2026-01-12T19:18:50.969647+00:00,244620941,LEANORA,PI3024,0,99,5,51.82453,4.73622,0.1,64.9,511,128,93,12,8,4,2.5,SLIEDRECHT,01-12 14:42,2026-01-12 19:13:45 GMT
2026-01-12T19:18:50.969647+00:00,244558684,CORRENTE,PI3920,0,79,5,51.89204,4.32995,0,360,511,128,10,76,6,6,3,DORDRECHT,12-17 18:31,2026-01-12 19:14:52 GMT
2026-01-12T19:18:50.969647+00:00,244790186,MALTA,PA3999,0,89,0,51.81919,5.27201,6.6,77,75,0,96,14,3,9,1.4,GELSENKIRCHEN  BP,01-13 14:44,2026-01-12 19:15:46 GMT
2026-01-12T19:18:50.969647+00:00,211535300,MAIN-SPESSART,DC9844,0,90,5,51.86327,6.06559,0.1,239.5,131,0,95,15,5,6,0,DUISBURG  TANQUID EX,01-13 13:30,2026-01-12 19:15:17 GMT
2026-01-12T19:18:50.969647+00:00,269057381,AVALON VISTA,HE7381,0,90,5,51.81908,4.87638,0,360,264,0,2,133,6,6,1.7,AMSTERDAM,12-15 06:00,2026-01-12 19:09:16 GMT
2026-01-12T19:18:50.969647+00:00,244040240,OSC,PE3643,0,70,15,51.9072,4.519,0,360,511,128,59,14,2,7,1,ROTTERDAM,04-22 17:07,2026-01-12 19:15:44 GMT
2026-01-12T19:18:50.969647+00:00,235064417,SEAFOX 2,2BAI3,8222903,90,5,51.88979,4.29053,0,291.5,511,128,44,42,22,23,0,NL BOT,12-05 20:00,2026-01-12 19:14:58 GMT
2026-01-12T19:18:50.969647+00:00,207072229,ELEGANT LADY,LZG2229,0,20,5,51.8203,4.87642,0,360,511,128,33,90,4,21,1.5,BOVEN HARDINXVELD,12-29 07:00,2026-01-12 19:03:25 GMT
2026-01-12T19:18:50.969647+00:00,210017000,ELBWIND,5BNL5,9483334,79,5,51.95017,4.06853,0,86.5,258,0,142,9,12,12,8,NLRTM,01-11 18:00,2026-01-12 19:15:15 GMT
2026-01-12T19:18:50.969647+00:00,249849000,VB CARLO MAGNO,9HA6407,9341251,52,5,51.88288,4.42297,0,274.9,109,-2,20,35,8,7,5,FRISOHAVEN,12-13 19:00,2026-01-12 19:15:41 GMT
